SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
2310779,1003.7,979.53,984.66,1003.44,9151349,14762530
2291236,1008.73,992.77,1003.88,995.42,10436230,15936070
2252870,993.71,978.2,993.71,978.7,6479563,10226190
2304122,1006.5,987.95,987.95,1000.9,10029600,16071690
2279711,1006.42,985.58,1004.64,986.97,7813424,12945710
2250123,982.61,971.93,982.61,974.08,6541675,10408960
2219256,970.91,958.65,970.91,963.77,5329138,8598400
2221275,968.87,957.91,962.92,965.89,5768907,9212623
2194507,964.15,946.2,964.15,950.87,5300003,8850705
2209874,955.55,938.59,948.86,943.98,6140646,9946145
2206383,947.91,934.96,942.91,939.1,6373550,10691880
2190936,935.99,920.16,935.99,930.07,6667303,11470480
2199061,939.7,924.65,928.43,937.08,7029373,11690470
2169313,938.91,925.9,938.57,926.6,6432845,10780610
2202908,945.5,914.83,923.53,942.07,8315813,14343490
2184252,942.45,929.81,940.81,932.39,6853192,11235420
2184252,,,,932.39,,
2184252,,,,932.39,,
2184252,,,,932.39,,
2184252,,,,932.39,,
2184252,,,,932.39,,
2135114,937.39,909.17,934.65,909.17,4889696,8529115
2148771,913.39,892.31,905.54,913.08,5960910,10494330
2127428,917.22,900.44,911.84,901.85,5128333,9042047
2080192,900.06,883.51,899.97,885.82,6107327,10228720
2082732,898.5,875.58,883.5,887.54,6228419,11244910
2051426,885.39,869.33,885.39,875.27,4630088,8224288
2053424,888.28,868.21,873.08,881.46,4635198,8772273
2054824,890.4,871.82,881.14,883.2,4615409,7878610
2054434,888.02,871.29,882.84,884.17,4263472,8149583
2049340,891.02,879.18,883.51,882.76,3835476,7226676
1999249,880.28,862.1,880.28,863.34,3725791,7279795
1997563,871.77,855.59,861.19,868.46,4777971,9206929
1994000,876.3,861.66,867.66,868.45,3742173,7238556
1968522,872.83,854.96,867.76,857.33,3470051,6622786
1954681,864.96,848.4,855.59,849.51,4240678,7749983
1969472,858.46,842.1,847.63,855.61,3712116,6971583
1971647,863.2,853.29,856.56,855.95,3601006,7047821
1929400,857.66,836.04,855.21,837.53,4274074,7902302
1884451,835.49,812.99,835.47,818.38,5220786,9508657
1878948,823.86,807.96,816.55,818.03,4164754,7936056
1923155,839.15,807.78,816.73,839,4685006,9009185
1912486,858.09,835.18,841.58,837.28,7248577,13067070
2073184,908.83,844.47,848.54,905.77,17414540,32907820
2100461,925.36,895.04,907.57,912.6,17782380,33141840
2055097,911.94,889.1,911.94,894.56,12006750,22391490
2049283,900.18,877.69,895,892.96,7944060,15628000
2030779,905.41,882.86,895.39,883.54,7692070,14343570
1994722,881.25,865.14,881.21,866.83,6272310,11454060
2020730,879.49,861.83,866.66,879.24,6115269,11049690
2021096,888.08,876.04,883.6,880.34,8285455,14963010
2078797,906.48,872.56,881.62,906.25,10290890,18992080
2049825,906.31,894.39,906.31,896.17,6890936,12774780
2051455,901.24,891.93,894.77,900.65,5882401,10478130
2037686,904.9,892.83,900.06,893.57,5465028,9509308
2053644,898.67,888.4,892.06,898.3,4732186,8918739
2092167,920.65,904.21,904.21,916.04,8903493,16545400
2062213,913.48,901.21,913.48,903.72,5536098,10402220
2052953,907.57,898.08,906.75,898.9,5751998,10806750
2006843,897.1,876.88,897.1,878.69,5597946,10855470
1992630,875.93,858.37,875.93,859.49,5086726,10094600
1985210,856.1,842.81,855.32,855.93,4026099,8840276
1967497,856.74,845.36,853.68,849.68,4529674,7992688
1954618,854.45,838.61,850.25,842.56,3627265,6898313
1964546,848.02,839.28,841.75,844.73,2901826,5962464
1932809,842.62,827.23,842.62,829.49,3447787,7221000
1923079,850.66,822.52,837.86,824.1,4092653,8439005
1987533,854.29,818.86,821.91,851.82,7519245,14989870
1973083,851.95,841.86,850.47,846.23,4674024,9398842
1980972,856.09,843.18,844.94,849.59,4742557,9361968
1962292,854.6,837.78,849.87,841,4203939,8889563
1944996,840,829.68,839.22,832.99,3767754,8500006
1946219,840.14,829.28,831.5,835.61,3622924,7891817
1961381,844.71,832.14,835.3,842.64,3953440,8526473
1964087,843.99,835.76,842.75,843.99,4118496,8366100
2009601,867.16,842.99,847.54,859.69,10210010,21630980
2005821,860.95,854.28,858.33,856.86,5762385,11816080
2058122,880.03,856.19,856.19,876.48,10513580,21826770
2092824,894.03,876.04,876.94,894.01,9688109,20409540
2086731,901,888.5,893.88,890.88,10326370,20622510
2077595,892.29,883.38,889.41,888.16,6409062,13397410
2086780,897.28,885.85,887.72,891.61,5451576,11808310
2114792,903.65,888.4,892.13,903.6,6441958,14292550
2121323,919.28,903.76,905.18,918.75,9796160,21304060
2111437,909.83,901.63,907.42,904.15,6682690,14519260
2155844,923.81,903.94,904.04,923.8,9585685,19123760
2170256,933.15,923.57,926.57,927.47,11135760,21608940
2190102,933.39,919.11,926.97,933.09,9704541,19532900
2209960,940.37,926.27,933.26,940.37,10214860,21515760
2246270,953.99,939.39,940.78,953.99,14042060,27073660
2210684,959.27,933.98,954.72,938.32,14457550,29168140
2235426,954.5,936.11,937.7,954.5,10503460,20430800
2208531,959.34,939.92,955.27,945.06,12606080,23861810
