Name,MARKET VALUE,PRICE HIGH,PRICE LOW,PRICE OPEN,PRICE INDEX,TURNOVER BY VALUE,VOLUME
4/8/2005,2310779,1003.7,979.53,984.66,1003.44,9151349,14762530
4/11/2005,2291236,1008.73,992.77,1003.88,995.42,10436230,15936070
4/12/2005,2252870,993.71,978.2,993.71,978.7,6479563,10226190
4/13/2005,2304122,1006.5,987.95,987.95,1000.9,10029600,16071690
4/14/2005,2279711,1006.42,985.58,1004.64,986.97,7813424,12945710
4/15/2005,2250123,982.61,971.93,982.61,974.08,6541675,10408960
4/18/2005,2219256,970.91,958.65,970.91,963.77,5329138,8598400
4/19/2005,2221275,968.87,957.91,962.92,965.89,5768907,9212623
4/20/2005,2194507,964.15,946.2,964.15,950.87,5300003,8850705
4/21/2005,2209874,955.55,938.59,948.86,943.98,6140646,9946145
4/22/2005,2206383,947.91,934.96,942.91,939.1,6373550,10691880
4/25/2005,2190936,935.99,920.16,935.99,930.07,6667303,11470480
4/26/2005,2199061,939.7,924.65,928.43,937.08,7029373,11690470
4/27/2005,2169313,938.91,925.9,938.57,926.6,6432845,10780610
4/28/2005,2202908,945.5,914.83,923.53,942.07,8315813,14343490
4/29/2005,2184252,942.45,929.81,940.81,932.39,6853192,11235420
5/2/2005,2184252,,,,932.39,,
5/3/2005,2184252,,,,932.39,,
5/4/2005,2184252,,,,932.39,,
5/5/2005,2184252,,,,932.39,,
5/6/2005,2184252,,,,932.39,,
5/9/2005,2135114,937.39,909.17,934.65,909.17,4889696,8529115
5/10/2005,2148771,913.39,892.31,905.54,913.08,5960910,10494330
5/11/2005,2127428,917.22,900.44,911.84,901.85,5128333,9042047
5/12/2005,2080192,900.06,883.51,899.97,885.82,6107327,10228720
5/13/2005,2082732,898.5,875.58,883.5,887.54,6228419,11244910
5/16/2005,2051426,885.39,869.33,885.39,875.27,4630088,8224288
5/17/2005,2053424,888.28,868.21,873.08,881.46,4635198,8772273
5/18/2005,2054824,890.4,871.82,881.14,883.2,4615409,7878610
5/19/2005,2054434,888.02,871.29,882.84,884.17,4263472,8149583
5/20/2005,2049340,891.02,879.18,883.51,882.76,3835476,7226676
5/23/2005,1999249,880.28,862.1,880.28,863.34,3725791,7279795
5/24/2005,1997563,871.77,855.59,861.19,868.46,4777971,9206929
5/25/2005,1994000,876.3,861.66,867.66,868.45,3742173,7238556
5/26/2005,1968522,872.83,854.96,867.76,857.33,3470051,6622786
5/27/2005,1954681,864.96,848.4,855.59,849.51,4240678,7749983
5/30/2005,1969472,858.46,842.1,847.63,855.61,3712116,6971583
5/31/2005,1971647,863.2,853.29,856.56,855.95,3601006,7047821
6/1/2005,1929400,857.66,836.04,855.21,837.53,4274074,7902302
6/2/2005,1884451,835.49,812.99,835.47,818.38,5220786,9508657
6/3/2005,1878948,823.86,807.96,816.55,818.03,4164754,7936056
6/6/2005,1923155,839.15,807.78,816.73,839,4685006,9009185
6/7/2005,1912486,858.09,835.18,841.58,837.28,7248577,13067070
6/8/2005,2073184,908.83,844.47,848.54,905.77,17414540,32907820
6/9/2005,2100461,925.36,895.04,907.57,912.6,17782380,33141840
6/10/2005,2055097,911.94,889.1,911.94,894.56,12006750,22391490
6/13/2005,2049283,900.18,877.69,895,892.96,7944060,15628000
6/14/2005,2030779,905.41,882.86,895.39,883.54,7692070,14343570
6/15/2005,1994722,881.25,865.14,881.21,866.83,6272310,11454060
6/16/2005,2020730,879.49,861.83,866.66,879.24,6115269,11049690
6/17/2005,2021096,888.08,876.04,883.6,880.34,8285455,14963010
6/20/2005,2078797,906.48,872.56,881.62,906.25,10290890,18992080
6/21/2005,2049825,906.31,894.39,906.31,896.17,6890936,12774780
6/22/2005,2051455,901.24,891.93,894.77,900.65,5882401,10478130
6/23/2005,2037686,904.9,892.83,900.06,893.57,5465028,9509308
6/24/2005,2053644,898.67,888.4,892.06,898.3,4732186,8918739
6/27/2005,2092167,920.65,904.21,904.21,916.04,8903493,16545400
6/28/2005,2062213,913.48,901.21,913.48,903.72,5536098,10402220
6/29/2005,2052953,907.57,898.08,906.75,898.9,5751998,10806750
6/30/2005,2006843,897.1,876.88,897.1,878.69,5597946,10855470
7/1/2005,1992630,875.93,858.37,875.93,859.49,5086726,10094600
7/4/2005,1985210,856.1,842.81,855.32,855.93,4026099,8840276
7/5/2005,1967497,856.74,845.36,853.68,849.68,4529674,7992688
7/6/2005,1954618,854.45,838.61,850.25,842.56,3627265,6898313
7/7/2005,1964546,848.02,839.28,841.75,844.73,2901826,5962464
7/8/2005,1932809,842.62,827.23,842.62,829.49,3447787,7221000
7/11/2005,1923079,850.66,822.52,837.86,824.1,4092653,8439005
7/12/2005,1987533,854.29,818.86,821.91,851.82,7519245,14989870
7/13/2005,1973083,851.95,841.86,850.47,846.23,4674024,9398842
7/14/2005,1980972,856.09,843.18,844.94,849.59,4742557,9361968
7/15/2005,1962292,854.6,837.78,849.87,841,4203939,8889563
7/18/2005,1944996,840,829.68,839.22,832.99,3767754,8500006
7/19/2005,1946219,840.14,829.28,831.5,835.61,3622924,7891817
7/20/2005,1961381,844.71,832.14,835.3,842.64,3953440,8526473
7/21/2005,1964087,843.99,835.76,842.75,843.99,4118496,8366100
7/22/2005,2009601,867.16,842.99,847.54,859.69,10210010,21630980
7/25/2005,2005821,860.95,854.28,858.33,856.86,5762385,11816080
7/26/2005,2058122,880.03,856.19,856.19,876.48,10513580,21826770
7/27/2005,2092824,894.03,876.04,876.94,894.01,9688109,20409540
7/28/2005,2086731,901,888.5,893.88,890.88,10326370,20622510
7/29/2005,2077595,892.29,883.38,889.41,888.16,6409062,13397410
8/1/2005,2086780,897.28,885.85,887.72,891.61,5451576,11808310
8/2/2005,2114792,903.65,888.4,892.13,903.6,6441958,14292550
8/3/2005,2121323,919.28,903.76,905.18,918.75,9796160,21304060
8/4/2005,2111437,909.83,901.63,907.42,904.15,6682690,14519260
8/5/2005,2155844,923.81,903.94,904.04,923.8,9585685,19123760
8/8/2005,2170256,933.15,923.57,926.57,927.47,11135760,21608940
8/9/2005,2190102,933.39,919.11,926.97,933.09,9704541,19532900
8/10/2005,2209960,940.37,926.27,933.26,940.37,10214860,21515760
8/11/2005,2246270,953.99,939.39,940.78,953.99,14042060,27073660
8/12/2005,2210684,959.27,933.98,954.72,938.32,14457550,29168140
8/15/2005,2235426,954.5,936.11,937.7,954.5,10503460,20430800
8/16/2005,2208531,959.34,939.92,955.27,945.06,12606080,23861810
8/17/2005,2225119,953.34,930.32,943.4,953.01,10910460,21457760
8/18/2005,2138755,956.84,919.12,954.15,920.67,15916420,31855310
8/19/2005,2146409,927.32,910.08,918.09,923.04,10881500,22242670
8/22/2005,2151782,933.35,919.22,923.11,931.67,7745835,16031010
8/23/2005,2139585,931.81,915.03,931.81,923.41,7508824,15406490
8/24/2005,2166008,935.23,923.56,923.56,930.65,7736512,15959750
8/25/2005,2165308,933.2,920.61,930.97,930.12,7604864,16292060
8/26/2005,2162653,930.32,921.84,930.25,928.26,7186198,15429800
8/29/2005,2128518,928.34,913.77,928.34,917.37,7137708,15462260
8/30/2005,2117822,920.21,912.84,916.09,914.88,5858436,12438170
8/31/2005,2143707,928.21,911.5,915.12,927.92,7034282,14623630
9/1/2005,2181082,944.95,926.06,928.52,944.56,10558680,22306370
9/2/2005,2185511,947.92,941.31,945.98,947.87,8864773,18614430
9/5/2005,2189525,952.98,944.63,949.08,952.72,8242226,17843310
9/6/2005,2154211,956.3,934.97,953.41,936.61,10583990,21222240
9/7/2005,2185970,952.9,932.65,934.99,952.76,9956808,19608460
9/8/2005,2189206,958.87,947.71,954.27,955.28,11753260,22424380
9/9/2005,2181577,959.9,946.02,955.11,949.06,7924193,16219310
9/12/2005,2176641,952.55,945.4,949.78,949.51,5610130,11672610
9/13/2005,2207050,963.92,948.13,949.58,963.77,7999031,16579430
9/14/2005,2223314,970.26,961.64,964.97,970.19,9942627,19958290
9/15/2005,2219662,970.96,965.66,970.58,969.6,8098160,16377680
9/16/2005,2210641,970.37,964.28,969.62,967.49,6989327,13978570
9/19/2005,2216426,971.99,964.26,967.44,971.14,7427481,14737420
9/20/2005,2197191,971.65,957.12,971.38,961.92,9189438,18636590
9/21/2005,2150806,961.37,943.82,961.37,944.41,8760459,18541890
9/22/2005,2107203,942.73,914.23,942.73,923.27,8625589,18115520
9/23/2005,2097379,927.42,914.81,921.51,916.15,5549882,11547640
9/26/2005,2100432,919.65,913.61,915.84,918.48,4398425,8836240
9/27/2005,2063136,921.13,903.39,918.87,904.21,5576097,11086060
9/28/2005,2062320,910.33,901.38,903.33,903.72,4331475,8850309
9/29/2005,2099482,915.97,904.28,904.28,915.97,5798238,11938980
9/30/2005,2104884,918.66,913.45,916.59,917.39,4529466,9001432
10/3/2005,2104884,,,,917.39,,
